Bin Id	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
bin.109	20	1	UID3971	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	o__Burkholderiales	66.4329465477	1.965171	2575	0.946041336861	11	223	63.6314011416	6.04147917703	5.56649813901	1.7739074753	5150.8206278	1616.3028132
bin.11	8	32	UID3234	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfurivibrio;s__Desulfurivibrio_alkaliphilus	56.6117919719	5.486682	5933	0.892011601912	11	6	55.1405247934	6.45899433359	4.1957145	0.877583816614	3694.83333333	741.692977061
bin.110	8	1	UID2309	k__Bacteria;p__Chloroflexi	unresolved	48.2717187012	0.985372	1225	0.874310412717	11	14	58.5159979235	4.80948739763	4.70641157143	1.0439035214	3933.14285714	717.183464986
bin.111	43	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	61.5403610015	4.798927	3838	0.872077028886	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
bin.112	10	1	UID1234	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Ethanoligenens;s__Ethanoligenens_harbinense	44.5882003881	1.934606	2185	0.864749204748	11	2	52.8718895631	2.68662050941	3.1393425	0.1307665	3428.5	554.5
bin.113	3	40	UID2620	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae;g__Paludibacter;s__Paludibacter_propionicigenes	38.4998438447	8.917405	8421	0.899317794807	11	2	40.8770503325	2.02038378158	2.8995215	0.7859825	2511.5	606.5
bin.114	42	0	UID2572	k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	f__Ignavibacteriaceae;g__Ignavibacterium;s__Ignavibacterium_album	33.3951131243	3.077058	2887	0.913508292661	11	2	37.6306212631	3.69749696697	3.4797055	0.1792915	3072.5	170.5
bin.115	30	2	UID3962	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	o__Hydrogenophilales;f__Hydrogenophilaceae;g__Thiobacillus;s__Thiobacillus_denitrificans	62.3297485252	2.415471	2672	0.910503168947	11	10	53.112641615	7.69457679558	3.1625312	0.333280772542	3037.0	366.434168712
bin.116	28	1	UID1	k__Archaea (root)	k__Archaea	58.1475070202	1.056587	1292	0.903330251082	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
bin.117	14	0	UID2307	k__Bacteria	p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__Chthonomonas_calidirosea	48.3606009338	2.557553	2651	0.901077709827	11	23	55.9597818041	5.95590811758	3.90703395652	1.73333076608	3352.7826087	1254.52443636
bin.118	14	10	UID3880	k__Bacteria;p__Proteobacteria	unresolved	65.7171005761	2.408644	3171	0.899618623591	11	1495	52.9489836668	10.613533521	4.27321480201	1.5745609793	4019.91237458	1426.77094264
bin.119	42	0	UID2310	k__Bacteria;p__Chloroflexi	c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila	55.5799039214	3.038762	3038	0.904672363285	11	2	56.2911854198	2.4415124799	4.335458	0.80308	3708.0	484.0
bin.12	30	2	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	55.5437338108	1.120346	1259	0.864361545451	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.120	36	6	UID3201	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	f__Acidobacteriaceae	63.8523798093	3.607474	3601	0.903610393311	11	14	58.572349499	1.53647727518	5.91319442857	1.40932307677	5022.5	1116.46513284
bin.121	24	8	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	50.0566771908	4.889092	5166	0.90281753749	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
bin.122	3	0	UID3198	k__Bacteria	p__Nitrospinae;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__Nitrospina;s__Nitrospina_gracilis	60.0580320898	6.504677	6524	0.865535521595	11	17	59.2923023901	3.01115477033	5.48641088235	1.58822161948	4711.64705882	1221.85750306
bin.123	13	0	UID46	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	s__	32.3304489197	2.932774	2957	0.798243233198	11	3	36.5270387842	1.05691574969	2.60485366667	0.0581723953397	2550.66666667	36.41733409
bin.124	43	0	UID3053	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	f__Verrucomicrobia_subdivision_3;g__Pedosphaera;s__Pedosphaera_parvula	61.9196852013	6.186556	4813	0.92246122075	11	7	55.5776172047	5.68274754991	4.11986942857	2.35804988334	3712.85714286	1824.78894502
bin.125	25	9	UID62	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	unresolved	40.7472978053	4.314826	3935	0.766104125636	11	3	41.1331478415	1.42914405274	4.907201	0.676124407843	4036.66666667	564.721957151
bin.126	0	0	NA	NA	unresolved	32.4218007276	0.473342	483	0.80314233683	11	NA	NA	NA	NA	NA	NA	NA
bin.127	30	3	UID2571	k__Bacteria	p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	54.5863155274	2.550555	2613	0.927422462954	11	14	49.3214646142	6.40690458662	2.7543095	0.465463349511	2529.92857143	379.490723449
bin.128	38	1	UID202	k__Archaea;p__Thaumarchaeota;c__Nitrosopumilales;o__Nitrosopumilales;f__Nitrosopumilaceae	g__Candidatus_Nitrosoarchaeum;s__Candidatus_Nitrosoarchaeum_koreensis	32.8019324608	1.547043	2066	0.891154285951	11	2	33.4203103606	0.747197612267	1.626477	0.018782	1916.5	74.5
bin.129	39	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	47.7558961402	1.285502	1327	0.903058104927	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.13	39	0	UID2307	k__Bacteria	p__Chloroflexi	55.5335687918	1.127446	1133	0.892932344432	11	23	55.9597818041	5.95590811758	3.90703395652	1.73333076608	3352.7826087	1254.52443636
bin.130	43	0	UID3232	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	o__Desulfarculales;f__Desulfarculaceae;g__Desulfarculus;s__Desulfarculus_baarsii	66.1836174488	4.278308	4130	0.881690378533	11	2	62.2259907053	3.47750334285	4.1615375	0.5058065	3730.0	375.0
bin.131	13	20	UID3959	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	unresolved	64.5038842144	6.572629	7806	0.913498997129	11	235	63.1115976037	6.5003364826	5.44306605957	1.80942361118	5042.8	1643.65173564
bin.132	39	1	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	44.5415385811	1.029585	1053	0.885159554578	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.133	21	2	UID2540	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	unresolved	57.5976534316	3.00775	2980	0.934470617571	11	28	44.119640061	5.91094745533	2.70574825	0.725684598615	2524.21428571	642.584811364
bin.134	43	0	UID3279	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae	g__Geobacter;s__Geobacter_sulfurreducens	63.0211023605	2.915598	2844	0.896655506006	11	13	57.9143072482	3.0777543531	4.33949715385	0.497722474022	3934.84615385	396.764965527
bin.135	36	7	UID3215	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	o__Deferrisoma;f__Deferrisoma;g__Deferrisoma;s__Deferrisoma_camini	53.7956449095	7.27792	7689	0.86798219821	11	84	58.0589820201	8.68953006244	4.57293354762	1.49471208556	4071.72619048	1119.37102185
bin.136	0	0	NA	NA	unresolved	40.464029286	0.219081	261	0.765543337852	11	NA	NA	NA	NA	NA	NA	NA
bin.137	22	4	UID2310	k__Bacteria;p__Chloroflexi	c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila	49.5567785868	1.853137	2130	0.907296114642	11	2	56.2911854198	2.4415124799	4.335458	0.80308	3708.0	484.0
bin.138	24	4	UID3804	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	g__Dongia;s__	69.2787443694	1.483621	1934	0.91105208136	11	6	67.5339244745	3.17603280736	6.10919483333	0.992544105668	5695.16666667	996.563330763
bin.139	3	0	UID46	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	s__Methanobacterium_formicicum	37.9990704447	1.701889	1912	0.817277742555	11	3	36.5270387842	1.05691574969	2.60485366667	0.0581723953397	2550.66666667	36.41733409
bin.14	41	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	47.7648454483	1.191931	1123	0.878748853751	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.140	22	8	UID2310	k__Bacteria;p__Chloroflexi	c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila	52.348396738	3.395359	3407	0.901413075907	11	2	56.2911854198	2.4415124799	4.335458	0.80308	3708.0	484.0
bin.141	16	1	UID3198	k__Bacteria	p__Acidobacteria	64.7557524309	3.580834	4152	0.923544626755	11	17	59.2923023901	3.01115477033	5.48641088235	1.58822161948	4711.64705882	1221.85750306
bin.142	20	0	UID1	k__Bacteria (root)	k__Bacteria	55.859978819	1.939478	2048	0.908739361828	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
bin.143	34	0	UID3278	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	o__Myxococcales;f__Myxococcaceae;g__Anaeromyxobacter;s__Anaeromyxobacter_dehalogenans	68.7275837548	3.224503	3783	0.933610544013	11	21	63.1862370411	7.35688494041	5.56829371429	2.22623555555	4800.0952381	1569.45331412
bin.144	38	0	UID2310	k__Bacteria;p__Chloroflexi	c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila	47.8490297567	2.338898	2662	0.904765834166	11	2	56.2911854198	2.4415124799	4.335458	0.80308	3708.0	484.0
bin.145	15	1	UID4295	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	g__Methylobacter;s__Methylobacter_tundripaludum	49.4803615771	3.069442	3429	0.905037137043	11	5	53.0242395255	2.54389767284	4.7044326	0.243697363538	4303.0	236.13809519
bin.146	3	0	UID4303	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	o__Chromatiales;f__Ectothiorhodospiraceae	69.0305043943	1.618357	1857	0.941860170531	11	83	64.9377792877	4.71688210227	3.01826948193	0.429362644628	2907.40963855	402.917493905
bin.147	8	0	UID3960	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	unresolved	58.9164367631	2.630451	2569	0.934005613486	11	12	53.4519151911	7.13225542818	3.14928658333	0.307394565639	3035.41666667	334.640966394
bin.148	25	13	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	39.0356831923	4.299251	4450	0.898326941135	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
bin.149	39	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	37.8886855434	0.940381	958	0.90580732703	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.15	40	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	48.8988583585	1.295065	1248	0.894515719288	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.150	36	5	UID2567	k__Bacteria	p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca	72.6366015692	3.138013	2698	0.924163794095	11	437	42.2586454603	6.79030286123	4.14570185126	1.51362052744	3610.01372998	1216.80246458
bin.151	16	1	UID3199	k__Bacteria;p__Acidobacteria	c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	67.6104668239	3.054107	3568	0.876029556266	11	16	59.4849084443	3.00051550587	5.63761075	1.51375596036	4810.8125	1191.24720455
bin.152	34	0	UID2572	k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	f__Melioribacteraceae;g__Melioribacter;s__Melioribacter_roseus	36.3269106599	4.477419	4184	0.92086802687	11	2	37.6306212631	3.69749696697	3.4797055	0.1792915	3072.5	170.5
bin.153	30	0	UID2329	k__Bacteria	p__Tenericutes;c__Mollicutes	37.884252232	0.669352	730	0.906270542256	11	174	29.3511519692	4.74536573391	1.46226449425	0.950537413827	1377.33908046	1002.10203496
bin.154	12	1	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	45.9504455979	0.847513	927	0.898381499753	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
bin.155	26	4	UID3202	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	c__Candidatus_Koribacter;o__Candidatus_Koribacter;f__Candidatus_Koribacter;g__Candidatus_Koribacter;s__Candidatus_Koribacter_versatilis	55.7147535986	3.975342	4295	0.875114895775	11	11	58.4596202319	1.32391403832	5.48899354545	0.892945952841	4665.72727273	765.75774604
bin.156	41	2	UID200	k__Archaea;p__Thaumarchaeota;c__Nitrosopumilales;o__Nitrosopumilales	f__Nitrosopumilaceae	40.9911433257	1.611553	2057	0.919485738291	11	4	43.1401417421	10.2440081706	2.032944	0.493090160786	2374.5	711.547784762
bin.157	35	2	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	39.5241246577	0.494121	530	0.915512597117	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
bin.158	2	1	UID2571	k__Bacteria	p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	39.7417237575	0.323607	336	0.92355233354	11	14	49.3214646142	6.40690458662	2.7543095	0.465463349511	2529.92857143	379.490723449
bin.159	39	2	UID1456	k__Bacteria;p__Actinobacteria;c__Actinobacteria	unresolved	71.8899533382	2.220658	2672	0.937434310011	11	700	64.929963019	6.79727479551	4.49996032	2.15273185806	4178.61857143	1972.13071472
bin.16	16	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	57.0849052293	0.503373	632	0.893631561486	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.160	32	7	UID1418	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium	s__Clostridium_kluyveri	32.3805087378	2.762838	3124	0.872810856083	11	3	31.7201435816	0.434440637203	4.203056	0.303233105397	3986.66666667	283.843070884
bin.161	26	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	45.1578779163	0.6258	770	0.915194950463	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.162	42	1	UID1060	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Pelosinus	s__Pelosinus_fermentans	48.2761144912	3.128311	3098	0.861566513048	11	5	42.8160506644	4.55970836507	4.6502084	0.894164424136	4502.2	848.5803203
bin.163	12	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	49.0376039444	0.339725	468	0.901278975642	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
bin.164	20	2	UID2307	k__Bacteria	p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__Chthonomonas_calidirosea	48.9914976267	2.701481	3035	0.898855479642	11	23	55.9597818041	5.95590811758	3.90703395652	1.73333076608	3352.7826087	1254.52443636
bin.165	0	0	NA	NA	unresolved	62.6007484768	0.239954	350	0.939571751252	11	NA	NA	NA	NA	NA	NA	NA
bin.166	20	15	UID1418	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium	s__Clostridium_kluyveri	34.3465674205	6.604989	7853	0.822475101775	11	3	31.7201435816	0.434440637203	4.203056	0.303233105397	3986.66666667	283.843070884
bin.167	2	0	UID3277	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	s__Desulfovibrio_alcoholivorans	60.3066675336	0.476803	460	0.849824770398	11	2	64.2770224832	0.4261325366	4.9012505	0.2276555	4382.5	172.5
bin.168	30	7	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	41.2834578383	0.72554	790	0.940525677426	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.169	0	0	NA	NA	unresolved	35.3798481289	0.234936	417	0.904676167126	11	NA	NA	NA	NA	NA	NA	NA
bin.17	38	1	UID1	k__Bacteria (root)	k__Bacteria	56.0439385174	0.689691	763	0.926149536532	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
bin.170	0	0	NA	NA	unresolved	46.740808499	0.311565	457	0.904141992843	11	NA	NA	NA	NA	NA	NA	NA
bin.171	22	2	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	55.4467176753	0.527492	695	0.90305066238	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
bin.172	37	2	UID3199	k__Bacteria;p__Acidobacteria	c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	71.7212139933	4.124339	3964	0.908139946789	11	16	59.4849084443	3.00051550587	5.63761075	1.51375596036	4810.8125	1191.24720455
bin.173	35	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	57.2208684909	1.019815	1029	0.903226565603	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
bin.174	1	0	UID3199	k__Bacteria;p__Acidobacteria	c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	68.6694061958	0.839317	983	0.905798405132	11	16	59.4849084443	3.00051550587	5.63761075	1.51375596036	4810.8125	1191.24720455
bin.175	31	6	UID3217	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile;s__Desulfomonile_tiedjei	55.5878117992	5.322656	5481	0.856493637763	11	62	56.1284551379	8.30705690322	4.24122095161	0.949111478087	3829.01612903	789.75088951
bin.176	24	0	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila	60.6554747407	4.220483	3913	0.872508904786	11	5	54.111367786	6.61115303754	4.4153048	0.796783927483	3887.4	661.542621454
bin.177	34	1	UID2535	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	g__Treponema	59.5980881788	3.894088	3845	0.909333584654	11	33	44.8210271728	5.71870393932	2.85230736364	0.829703588646	2657.39393939	756.636093605
bin.178	38	3	UID4297	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylosarcina	s__Methylosarcina_fibrata	48.4366830069	2.966289	3218	0.879673558443	11	3	54.9950998804	0.92140830785	4.61894233333	0.25805204967	4178.33333333	190.704541693
bin.179	39	3	UID2983	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae	unresolved	43.988527688	2.506208	2333	0.883312957265	11	11	53.2536077313	6.59699903983	6.27668727273	1.36762595276	5441.09090909	1274.33379775
bin.18	42	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	37.2244849446	3.937489	3255	0.913661981024	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
bin.180	34	2	UID3198	k__Bacteria	p__Acidobacteria	69.6909878348	4.144853	4131	0.920070024196	11	17	59.2923023901	3.01115477033	5.48641088235	1.58822161948	4711.64705882	1221.85750306
bin.181	0	0	NA	NA	unresolved	65.353029104	0.22746	434	0.932221049855	11	NA	NA	NA	NA	NA	NA	NA
bin.182	13	0	UID2142	k__Bacteria	p__Cyanobacteria	43.0067225806	0.696905	775	0.955127312905	11	169	50.1629813722	12.0228236511	4.39149491716	1.99838199454	4148.5443787	1625.20651017
bin.183	42	1	UID2566	k__Bacteria	unresolved	57.9901418881	4.198167	3343	0.898071229658	11	525	42.588785261	7.01104947332	3.85675681905	1.76836328516	3363.96571429	1451.8143246
bin.184	43	0	UID2535	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	g__Treponema	52.1363410066	2.673473	2440	0.92506787987	11	33	44.8210271728	5.71870393932	2.85230736364	0.829703588646	2657.39393939	756.636093605
bin.185	28	1	UID1	k__Bacteria (root)	k__Bacteria	54.7535230865	0.718688	823	0.915401398103	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
bin.186	38	0	UID2142	k__Bacteria	p__Deinococcus-Thermus;c__Deinococci	38.1448760407	0.683329	697	0.846271708064	11	169	50.1629813722	12.0228236511	4.39149491716	1.99838199454	4148.5443787	1625.20651017
bin.187	41	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	43.3682336097	1.424153	1293	0.904418977455	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
